Dia,Sector,Duração,Início,Final
25/10/2023,E,7,17:47,17:54
26/10/2023,A,14,08:30,08:44
26/10/2023,B,8,08:44,08:52
26/10/2023,C,25,08:52,09:17
26/10/2023,E,7,09:17,09:24
26/10/2023,A,14,17:00,17:14
26/10/2023,B,8,17:14,17:22
26/10/2023,C,25,17:22,17:47
26/10/2023,E,7,17:47,17:54
27/10/2023,A,14,08:30,08:44
27/10/2023,B,8,08:44,08:52
27/10/2023,D,25,08:52,09:17
27/10/2023,E,7,09:17,09:24
27/10/2023,F,10,09:24,09:34
27/10/2023,A,14,17:00,17:14
27/10/2023,B,8,17:14,17:22
27/10/2023,D,25,17:22,17:47
27/10/2023,E,7,17:47,17:54
27/10/2023,F,10,17:54,18:04
28/10/2023,A,14,08:30,08:44
28/10/2023,B,8,08:44,08:52
28/10/2023,C,25,08:52,09:17
28/10/2023,E,7,09:17,09:24
28/10/2023,A,14,17:00,17:14
28/10/2023,B,8,17:14,17:22
28/10/2023,C,25,17:22,17:47
28/10/2023,E,7,17:47,17:54
29/10/2023,A,14,08:30,08:44
29/10/2023,B,8,08:44,08:52
29/10/2023,D,25,08:52,09:17
29/10/2023,E,7,09:17,09:24
29/10/2023,A,14,17:00,17:14
29/10/2023,B,8,17:14,17:22
29/10/2023,D,25,17:22,17:47
29/10/2023,E,7,17:47,17:54
30/10/2023,A,14,08:30,08:44
30/10/2023,B,8,08:44,08:52
30/10/2023,C,25,08:52,09:17
30/10/2023,E,7,09:17,09:24
30/10/2023,F,10,09:24,09:34
30/10/2023,A,14,17:00,17:14
30/10/2023,B,8,17:14,17:22
30/10/2023,C,25,17:22,17:47
30/10/2023,E,7,17:47,17:54
30/10/2023,F,10,17:54,18:04
31/10/2023,A,14,08:30,08:44
31/10/2023,B,8,08:44,08:52
31/10/2023,D,25,08:52,09:17
31/10/2023,E,7,09:17,09:24
31/10/2023,A,14,17:00,17:14
31/10/2023,B,8,17:14,17:22
31/10/2023,D,25,17:22,17:47
31/10/2023,E,7,17:47,17:54
1/11/2023,A,14,08:30,08:44
1/11/2023,B,8,08:44,08:52
1/11/2023,D,25,08:52,09:17
1/11/2023,E,7,09:17,09:24
1/11/2023,A,14,17:00,17:14
1/11/2023,B,8,17:14,17:22
1/11/2023,D,25,17:22,17:47
1/11/2023,E,7,17:47,17:54
2/11/2023,A,14,08:30,08:44
2/11/2023,B,8,08:44,08:52
2/11/2023,C,25,08:52,09:17
2/11/2023,E,7,09:17,09:24
2/11/2023,A,14,17:00,17:14
2/11/2023,B,8,17:14,17:22
2/11/2023,C,25,17:22,17:47
2/11/2023,E,7,17:47,17:54
3/11/2023,A,14,08:30,08:44
3/11/2023,B,8,08:44,08:52
3/11/2023,D,25,08:52,09:17
3/11/2023,E,7,09:17,09:24
3/11/2023,F,10,09:24,09:34
3/11/2023,A,14,17:00,17:14
3/11/2023,B,8,17:14,17:22
3/11/2023,D,25,17:22,17:47
3/11/2023,E,7,17:47,17:54
3/11/2023,F,10,17:54,18:04
4/11/2023,A,14,08:30,08:44
4/11/2023,B,8,08:44,08:52
4/11/2023,C,25,08:52,09:17
4/11/2023,E,7,09:17,09:24
4/11/2023,A,14,17:00,17:14
4/11/2023,B,8,17:14,17:22
4/11/2023,C,25,17:22,17:47
4/11/2023,E,7,17:47,17:54
5/11/2023,A,14,08:30,08:44
5/11/2023,B,8,08:44,08:52
5/11/2023,D,25,08:52,09:17
5/11/2023,E,7,09:17,09:24
5/11/2023,A,14,17:00,17:14
5/11/2023,B,8,17:14,17:22
5/11/2023,D,25,17:22,17:47
5/11/2023,E,7,17:47,17:54
6/11/2023,A,14,08:30,08:44
6/11/2023,B,8,08:44,08:52
6/11/2023,C,25,08:52,09:17
6/11/2023,E,7,09:17,09:24
6/11/2023,F,10,09:24,09:34
6/11/2023,A,14,17:00,17:14
6/11/2023,B,8,17:14,17:22
6/11/2023,C,25,17:22,17:47
6/11/2023,E,7,17:47,17:54
6/11/2023,F,10,17:54,18:04
7/11/2023,A,14,08:30,08:44
7/11/2023,B,8,08:44,08:52
7/11/2023,D,25,08:52,09:17
7/11/2023,E,7,09:17,09:24
7/11/2023,A,14,17:00,17:14
7/11/2023,B,8,17:14,17:22
7/11/2023,D,25,17:22,17:47
7/11/2023,E,7,17:47,17:54
8/11/2023,A,14,08:30,08:44
8/11/2023,B,8,08:44,08:52
8/11/2023,C,25,08:52,09:17
8/11/2023,E,7,09:17,09:24
8/11/2023,A,14,17:00,17:14
8/11/2023,B,8,17:14,17:22
8/11/2023,C,25,17:22,17:47
8/11/2023,E,7,17:47,17:54
9/11/2023,A,14,08:30,08:44
9/11/2023,B,8,08:44,08:52
9/11/2023,D,25,08:52,09:17
9/11/2023,E,7,09:17,09:24
9/11/2023,F,10,09:24,09:34
9/11/2023,A,14,17:00,17:14
9/11/2023,B,8,17:14,17:22
9/11/2023,D,25,17:22,17:47
9/11/2023,E,7,17:47,17:54
9/11/2023,F,10,17:54,18:04
10/11/2023,A,14,08:30,08:44
10/11/2023,B,8,08:44,08:52
10/11/2023,C,25,08:52,09:17
10/11/2023,E,7,09:17,09:24
10/11/2023,A,14,17:00,17:14
10/11/2023,B,8,17:14,17:22
10/11/2023,C,25,17:22,17:47
10/11/2023,E,7,17:47,17:54
11/11/2023,A,14,08:30,08:44
11/11/2023,B,8,08:44,08:52
11/11/2023,D,25,08:52,09:17
11/11/2023,E,7,09:17,09:24
11/11/2023,A,14,17:00,17:14
11/11/2023,B,8,17:14,17:22
11/11/2023,D,25,17:22,17:47
11/11/2023,E,7,17:47,17:54
12/11/2023,A,14,08:30,08:44
12/11/2023,B,8,08:44,08:52
12/11/2023,C,25,08:52,09:17
12/11/2023,E,7,09:17,09:24
12/11/2023,F,10,09:24,09:34
12/11/2023,A,14,17:00,17:14
12/11/2023,B,8,17:14,17:22
12/11/2023,C,25,17:22,17:47
12/11/2023,E,7,17:47,17:54
12/11/2023,F,10,17:54,18:04
13/11/2023,A,14,08:30,08:44
13/11/2023,B,8,08:44,08:52
13/11/2023,D,25,08:52,09:17
13/11/2023,E,7,09:17,09:24
13/11/2023,A,14,17:00,17:14
13/11/2023,B,8,17:14,17:22
13/11/2023,D,25,17:22,17:47
13/11/2023,E,7,17:47,17:54
14/11/2023,A,14,08:30,08:44
14/11/2023,B,8,08:44,08:52
14/11/2023,C,25,08:52,09:17
14/11/2023,E,7,09:17,09:24
14/11/2023,A,14,17:00,17:14
14/11/2023,B,8,17:14,17:22
14/11/2023,C,25,17:22,17:47
14/11/2023,E,7,17:47,17:54
15/11/2023,A,14,08:30,08:44
15/11/2023,B,8,08:44,08:52
15/11/2023,D,25,08:52,09:17
15/11/2023,E,7,09:17,09:24
15/11/2023,F,10,09:24,09:34
15/11/2023,A,14,17:00,17:14
15/11/2023,B,8,17:14,17:22
15/11/2023,D,25,17:22,17:47
15/11/2023,E,7,17:47,17:54
15/11/2023,F,10,17:54,18:04
16/11/2023,A,14,08:30,08:44
16/11/2023,B,8,08:44,08:52
16/11/2023,C,25,08:52,09:17
16/11/2023,E,7,09:17,09:24
16/11/2023,A,14,17:00,17:14
16/11/2023,B,8,17:14,17:22
16/11/2023,C,25,17:22,17:47
16/11/2023,E,7,17:47,17:54
17/11/2023,A,14,08:30,08:44
17/11/2023,B,8,08:44,08:52
17/11/2023,D,25,08:52,09:17
17/11/2023,E,7,09:17,09:24
17/11/2023,A,14,17:00,17:14
17/11/2023,B,8,17:14,17:22
17/11/2023,D,25,17:22,17:47
17/11/2023,E,7,17:47,17:54
